26081,8,16,18,24,34,9,12
26080,5,10,15,21,23,7,8
26079,6,8,23,26,27,5,12
26078,2,13,20,25,32,8,11
26077,4,14,19,24,27,6,7
26076,15,20,27,28,35,2,11
26075,1,6,16,18,26,4,10
26074,1,4,10,23,25,1,12
26073,4,10,22,23,33,2,12
26072,1,13,26,29,30,9,11
26071,5,13,22,26,32,2,3
26070,4,5,15,21,32,2,11
26069,12,19,21,24,29,3,10
26068,3,11,12,21,22,6,10
26067,6,16,18,19,28,7,11
26066,10,13,19,21,30,4,5
26065,4,11,12,13,25,4,8
26064,3,13,15,17,21,2,7
26063,3,15,20,29,31,1,12
26062,7,15,20,24,29,4,10
26061,10,12,26,31,35,2,12
26060,22,28,30,31,34,1,5
26059,6,13,17,19,26,7,8
26058,7,12,13,18,34,1,5
26057,23,25,26,27,34,4,10
26056,6,7,18,21,30,1,5
26055,9,10,20,33,35,4,11
26054,2,6,14,22,24,8,11
26053,2,9,14,20,31,5,9
26052,2,3,20,28,33,2,12
26051,13,18,28,32,33,2,11
26050,6,10,14,23,33,8,10
26049,1,6,14,15,17,2,3
26048,11,17,20,23,35,1,10
26047,9,20,21,23,28,6,11
26046,1,13,18,27,33,4,7
26045,1,15,21,26,33,4,7
26044,3,8,22,26,29,7,10
26043,8,12,14,19,22,11,12
26042,2,7,13,19,24,3,8
26041,24,25,27,29,34,2,6
26040,6,12,13,21,34,8,9
26039,9,11,20,26,27,6,9
26038,8,17,21,33,35,6,7
26037,7,12,13,28,32,6,8
26036,4,7,16,26,32,5,8
26035,2,22,30,33,34,8,12
26034,11,12,25,26,27,8,11
26033,3,5,7,9,18,2,10
26032,3,4,19,26,32,1,12
26031,6,8,22,29,34,5,7
26030,2,13,22,28,34,5,12
26029,3,5,17,33,35,5,7
26028,15,27,29,30,34,1,10
26027,9,10,11,12,16,1,11
26026,10,11,22,26,32,1,8
26025,3,15,24,28,29,3,7
26024,2,4,8,10,21,9,12
26023,9,25,26,27,28,1,8
26022,5,9,10,18,26,5,6
26021,5,8,12,14,17,4,5
26020,1,10,21,23,29,10,12
26019,12,13,14,16,31,4,12
26018,9,11,19,30,35,1,12
26017,4,5,10,23,31,7,12
26016,8,9,12,19,24,1,6
26015,1,4,10,13,17,3,11
26014,16,18,23,34,35,1,6
26013,3,5,6,23,26,1,4
26012,1,2,9,22,25,1,6
26011,14,21,23,29,33,2,10
26010,2,3,13,18,26,2,9
26009,5,12,13,14,33,5,8
26008,3,6,17,21,33,5,11
26007,1,3,13,20,26,3,10
26006,5,12,18,23,35,6,12
26005,2,4,16,23,35,6,11
26004,5,18,23,25,32,5,9
26003,2,9,11,15,16,2,4
26002,4,8,15,20,31,7,8
26001,7,9,23,27,32,2,8
25150,13,14,15,28,31,1,5
25149,24,26,30,31,32,5,12
25148,3,4,14,30,32,8,12
25147,6,16,21,25,33,7,8
25146,6,11,13,16,22,2,3
25145,5,7,20,22,25,4,5
25144,2,5,13,15,28,5,8
25143,3,4,18,24,29,7,12
25142,9,10,14,27,29,2,9
25141,4,9,24,28,29,2,10
25140,4,5,13,18,34,2,8
25139,8,18,22,30,35,1,4
25138,1,3,19,21,23,7,11
25137,7,8,9,11,22,5,11
25136,7,11,15,16,23,9,11
25135,2,10,16,28,32,1,7
25134,7,12,18,27,33,9,10
25133,4,11,23,27,35,7,11
25132,1,9,10,12,19,6,7
25131,3,8,25,29,32,9,12
25130,1,13,16,27,29,2,11
25129,3,9,14,28,35,2,4
25128,3,6,26,30,33,11,12
25127,4,5,19,28,29,5,8
25126,1,8,18,27,30,6,7
25125,10,11,13,19,35,4,11
25124,6,9,14,26,27,8,9
25123,8,13,24,25,31,4,10
25122,2,3,6,16,17,4,5
25121,2,3,8,13,21,7,12
25120,11,13,22,26,35,2,8
25119,8,15,27,29,31,1,7
25118,2,8,9,12,21,4,5
25117,5,10,18,21,29,5,7
25116,2,6,16,22,29,8,12
25115,3,12,14,21,35,1,5
25114,3,8,9,12,16,1,5
25113,1,14,18,28,35,2,3
25112,3,4,21,23,24,9,12
25111,2,9,14,21,26,2,12
25110,1,15,22,30,31,2,8
25109,4,8,10,13,26,9,10
25108,14,18,21,24,29,3,6
25107,5,7,8,15,33,6,10
25106,5,6,11,26,29,5,10
25105,15,16,25,28,34,10,12
25104,2,6,9,22,34,2,8
25103,5,8,19,32,34,4,5
25102,9,10,13,26,28,2,4
25101,5,7,19,26,32,8,9
25100,26,28,32,34,35,2,7
25099,6,12,20,26,31,2,4
25098,1,7,9,10,23,10,12
25097,5,24,25,32,34,1,9
25096,2,11,17,22,24,7,9
25095,7,13,14,19,27,6,10
25094,4,9,17,30,33,5,9
25093,1,7,9,16,30,2,5
25092,4,10,17,25,32,5,7
25091,1,19,22,25,27,3,10
25090,6,14,19,22,27,1,4
25089,2,11,12,32,34,3,10
25088,8,9,10,11,35,5,11
25087,5,13,14,16,20,3,8
25086,2,6,23,24,33,1,10
25085,2,5,9,14,33,4,9
25084,9,11,13,18,29,4,11
25083,12,17,18,20,34,2,5
25082,2,3,4,12,26,1,8
25081,1,4,6,15,18,2,3
25080,9,10,18,22,24,3,12
25079,2,14,32,34,35,5,11
25078,7,10,15,21,24,5,6
25077,12,14,16,19,28,1,4
25076,11,18,22,25,29,4,12
25075,8,12,16,19,35,6,9
25074,2,11,15,18,21,5,10
25073,1,4,17,33,34,3,9
25072,4,7,15,24,29,1,4
25071,1,8,25,31,33,5,11
25070,8,9,15,20,22,4,12
25069,4,6,7,33,34,9,10
25068,1,4,17,20,22,4,10
25067,6,10,12,21,22,1,6
25066,15,18,27,28,34,3,6
25065,7,25,32,33,35,4,9
25064,5,10,18,20,34,1,8
25063,5,18,26,29,32,7,10
25062,14,20,27,28,29,6,10
25061,2,11,16,23,28,5,10
25060,12,14,19,33,34,1,7
25059,3,9,10,11,26,1,2
